Request Time,Type,Room,Timeslot,Status
1,BOOK,4,17:00-18:30,0,
2,BOOK,1,14:00-15:30,0,
3,CANCEL,5,18:30-20:00,-3,
4,BOOK,4,14:00-15:30,0,
5,BOOK,4,15:30-17:00,0,
6,CANCEL,5,12:30-14:00,-3,
7,BOOK,5,11:00-12:30,0,
8,BOOK,3,11:00-12:30,0,
9,CANCEL,1,14:00-15:30,-2,
10,GET,,,0,"[(4, '14:00'), (4, '15:30'), (4, '17:00'), (1, '14:00'), (5, '11:00'), (3, '11:00')]"
11,BOOK,5,11:00-12:30,-1,
12,CANCEL,3,9:30-11:00,-3,
13,BOOK,1,15:30-17:00,0,
14,BOOK,4,9:30-11:00,-3,
15,CANCEL,3,17:00-18:30,-3,
16,BOOK,3,12:30-14:00,0,
17,BOOK,5,18:30-20:00,0,
18,CANCEL,4,14:00-15:30,-2,
19,BOOK,1,8:00-09:30,-3,
20,GET,,,0,"[(4, '14:00'), (4, '15:30'), (4, '17:00'), (1, '14:00'), (1, '15:30'), (5, '11:00'), (5, '18:30'), (3, '11:00'), (3, '12:30')]"
21,CANCEL,1,17:00-18:30,-3,
22,BOOK,1,18:30-20:00,0,
23,BOOK,3,12:30-14:00,-1,
24,CANCEL,3,9:30-11:00,-3,
25,BOOK,2,12:30-14:00,0,
26,BOOK,2,11:00-12:30,0,
27,CANCEL,5,18:30-20:00,-2,
28,BOOK,1,9:30-11:00,-3,
29,BOOK,3,18:30-20:00,0,
30,GET,,,0,"[(4, '14:00'), (4, '15:30'), (4, '17:00'), (1, '14:00'), (1, '15:30'), (1, '18:30'), (5, '11:00'), (5, '18:30'), (3, '11:00'), (3, '12:30'), (3, '18:30'), (2, '11:00'), (2, '12:30')]"
31,BOOK,1,14:00-15:30,-1,
32,BOOK,5,14:00-15:30,0,
33,CANCEL,1,15:30-17:00,-2,
34,BOOK,5,12:30-14:00,0,
35,BOOK,5,14:00-15:30,-1,
36,CANCEL,4,9:30-11:00,-3,
37,BOOK,5,17:00-18:30,0,
38,BOOK,3,12:30-14:00,-1,
39,CANCEL,3,11:00-12:30,0,
40,GET,,,0,"[(4, '14:00'), (4, '15:30'), (4, '17:00'), (1, '14:00'), (1, '15:30'), (1, '18:30'), (5, '11:00'), (5, '12:30'), (5, '14:00'), (5, '17:00'), (5, '18:30'), (3, '12:30'), (3, '18:30'), (2, '11:00'), (2, '12:30')]"
41,BOOK,2,11:00-12:30,-1,
42,CANCEL,1,14:00-15:30,0,
43,BOOK,4,9:30-11:00,-3,
44,BOOK,1,11:00-12:30,0,
45,CANCEL,2,8:00-09:30,-3,
46,BOOK,1,17:00-18:30,0,
47,BOOK,5,14:00-15:30,-1,
48,CANCEL,5,12:30-14:00,-2,
49,BOOK,2,17:00-18:30,0,
50,GET,,,0,"[(4, '14:00'), (4, '15:30'), (4, '17:00'), (1, '11:00'), (1, '15:30'), (1, '17:00'), (1, '18:30'), (5, '11:00'), (5, '12:30'), (5, '14:00'), (5, '17:00'), (5, '18:30'), (3, '12:30'), (3, '18:30'), (2, '11:00'), (2, '12:30'), (2, '17:00')]"
51,CANCEL,5,14:00-15:30,-2,
52,BOOK,4,18:30-20:00,0,
53,BOOK,3,9:30-11:00,-3,
54,CANCEL,3,9:30-11:00,-3,
55,BOOK,4,15:30-17:00,-1,
56,BOOK,2,12:30-14:00,-1,
57,CANCEL,1,14:00-15:30,-3,
58,BOOK,1,12:30-14:00,0,
59,BOOK,3,11:00-12:30,0,
60,GET,,,0,"[(4, '14:00'), (4, '15:30'), (4, '17:00'), (4, '18:30'), (1, '11:00'), (1, '12:30'), (1, '15:30'), (1, '17:00'), (1, '18:30'), (5, '11:00'), (5, '12:30'), (5, '14:00'), (5, '17:00'), (5, '18:30'), (3, '11:00'), (3, '12:30'), (3, '18:30'), (2, '11:00'), (2, '12:30'), (2, '17:00')]"
61,BOOK,3,17:00-18:30,0,
62,BOOK,1,9:30-11:00,-3,
63,CANCEL,2,12:30-14:00,0,
64,BOOK,1,9:30-11:00,-3,
65,BOOK,1,9:30-11:00,-3,
66,CANCEL,2,9:30-11:00,-3,
67,BOOK,4,9:30-11:00,-3,
68,BOOK,3,9:30-11:00,-3,
69,CANCEL,1,8:00-09:30,-3,
70,GET,,,0,"[(4, '14:00'), (4, '15:30'), (4, '17:00'), (4, '18:30'), (1, '11:00'), (1, '12:30'), (1, '15:30'), (1, '17:00'), (1, '18:30'), (5, '11:00'), (5, '12:30'), (5, '14:00'), (5, '17:00'), (5, '18:30'), (3, '11:00'), (3, '12:30'), (3, '17:00'), (3, '18:30'), (2, '11:00'), (2, '17:00')]"
71,BOOK,2,11:00-12:30,-1,
72,CANCEL,1,18:30-20:00,0,
73,BOOK,2,8:00-09:30,-3,
74,BOOK,1,17:00-18:30,-1,
75,CANCEL,5,9:30-11:00,-3,
76,BOOK,3,9:30-11:00,-3,
77,BOOK,2,9:30-11:00,-3,
78,CANCEL,3,15:30-17:00,-3,
79,BOOK,4,11:00-12:30,0,
80,GET,,,0,"[(4, '11:00'), (4, '14:00'), (4, '15:30'), (4, '17:00'), (4, '18:30'), (1, '11:00'), (1, '12:30'), (1, '15:30'), (1, '17:00'), (5, '11:00'), (5, '12:30'), (5, '14:00'), (5, '17:00'), (5, '18:30'), (3, '11:00'), (3, '12:30'), (3, '17:00'), (3, '18:30'), (2, '11:00'), (2, '17:00')]"
81,CANCEL,1,18:30-20:00,-3,
82,BOOK,1,9:30-11:00,-3,
83,BOOK,4,12:30-14:00,0,
84,CANCEL,3,15:30-17:00,-3,
85,BOOK,4,11:00-12:30,-1,
86,BOOK,2,8:00-09:30,-3,
87,CANCEL,2,11:00-12:30,0,
88,BOOK,3,14:00-15:30,0,
89,BOOK,1,18:30-20:00,0,
90,GET,,,0,"[(4, '11:00'), (4, '12:30'), (4, '14:00'), (4, '15:30'), (4, '17:00'), (4, '18:30'), (1, '11:00'), (1, '12:30'), (1, '15:30'), (1, '17:00'), (1, '18:30'), (5, '11:00'), (5, '12:30'), (5, '14:00'), (5, '17:00'), (5, '18:30'), (3, '11:00'), (3, '12:30'), (3, '14:00'), (3, '17:00'), (3, '18:30'), (2, '17:00')]"
91,BOOK,2,8:00-09:30,-3,
92,BOOK,4,17:00-18:30,-1,
93,CANCEL,5,14:00-15:30,0,
94,BOOK,3,17:00-18:30,-1,
95,BOOK,3,11:00-12:30,-1,
96,CANCEL,5,8:00-09:30,-3,
